id,date,source,headline,content,crypto,topic,sentiment,confidence,impact_score
239,2026-09-26,CoinTelegraph,Bitcoin market shows equilibrium,BTC neither rising nor falling,BTC,market,1,0.78,6
240,2026-09-27,Bloomberg,Ethereum network remains stable,ETH performance unchanged,ETH,technology,1,0.79,6
241,2026-09-28,CoinDesk,Solana trading stable,No significant SOL movement,SOL,market,1,0.76,5
242,2026-09-29,Reuters,Crypto sentiment remains balanced,Market shows no bias,BTC,sentiment,1,0.75,5
243,2026-09-30,CoinTelegraph,Bitcoin consolidation continues,BTC remains in tight range,BTC,market,1,0.78,6
244,2026-10-01,Bloomberg,Ethereum ecosystem steady growth,ETH maintains stable activity,ETH,development,1,0.79,6
245,2026-10-02,CoinDesk,Solana remains stable network,SOL uptime consistent,SOL,technology,1,0.77,6
246,2026-10-03,Reuters,Cardano trading stable,ADA shows no volatility,ADA,market,1,0.75,5
247,2026-10-04,CoinTelegraph,Bitcoin market quiet phase,BTC shows low activity, BTC,market,0,0.80,5
248,2026-10-05,Bloomberg,Ethereum remains unchanged,ETH stable trading continues,ETH,market,1,0.77,6
249,2026-10-06,CoinDesk,Solana ecosystem stable,SOL maintains performance,SOL,market,1,0.76,5
250,2026-10-07,Reuters,Crypto market closes neutral,No major price movement,BTC,market,1,0.75,5


251,2026-10-08,CoinDesk,Bitcoin shows slight upward drift,BTC slowly gains after neutral phase,BTC,market,2,0.81,6
252,2026-10-09,Reuters,Ethereum gains minor bullish momentum,ETH sees small price recovery,ETH,market,2,0.83,6
253,2026-10-10,CoinTelegraph,Solana adoption increases gradually,SOL ecosystem sees steady user growth,SOL,adoption,2,0.82,7
254,2026-10-11,Bloomberg,Cardano developer activity rises slightly,ADA shows improved development engagement,ADA,development,2,0.80,6
255,2026-10-12,CoinDesk,Crypto market shows early recovery signs,Small bullish trend emerging,BTC,market,2,0.84,7
256,2026-10-13,Reuters,Bitcoin rebounds from support level,BTC shows technical recovery,BTC,market,2,0.86,8
257,2026-10-14,CoinTelegraph,Ethereum ecosystem strengthens gradually,ETH usage increases across apps,ETH,defi,2,0.85,8
258,2026-10-15,Bloomberg,Solana network activity improves,SOL sees higher transaction volume,SOL,technology,2,0.83,7
259,2026-10-16,CoinDesk,Cardano sentiment turns positive,ADA community shows optimism,ADA,sentiment,2,0.81,7
260,2026-10-17,Reuters,Bitcoin trading pressure eases,BTC stabilizes after volatility,BTC,market,2,0.85,7
261,2026-10-18,CoinTelegraph,Ethereum gas usage increases,ETH network demand rises,ETH,technology,2,0.84,7
262,2026-10-19,Bloomberg,Solana shows stronger ecosystem growth,SOL adoption increases across apps,SOL,adoption,2,0.86,8
263,2026-10-20,CoinDesk,Crypto sentiment turns slightly bullish,Market optimism improves,BTC,sentiment,2,0.83,7
264,2026-10-21,Reuters,Bitcoin demand increases steadily,BTC buying pressure rises,BTC,market,2,0.87,8
265,2026-10-22,CoinTelegraph,Ethereum scaling solutions perform well,ETH Layer 2 usage improves,ETH,technology,2,0.85,8
266,2026-10-23,Bloomberg,Cardano network upgrades progress,ADA improves infrastructure,ADA,development,2,0.82,7
267,2026-10-24,CoinDesk,Solana price shows recovery trend,SOL rebounds slightly,SOL,market,2,0.84,7
268,2026-10-25,Reuters,Crypto market shows bullish tilt,BTC and ETH gain momentum,BTC,market,2,0.86,8
269,2026-10-26,CoinTelegraph,Bitcoin breaks minor resistance,BTC shows upward breakout,BTC,market,2,0.88,9
270,2026-10-27,Bloomberg,Ethereum adoption increases further,ETH used more in DeFi apps,ETH,defi,2,0.85,8
271,2026-10-28,CoinDesk,Solana network expands usage,SOL sees increased transactions,SOL,adoption,2,0.83,7
272,2026-10-29,Reuters,Cardano sentiment improves gradually,ADA gains investor interest,ADA,sentiment,2,0.81,7
273,2026-10-30,CoinTelegraph,Bitcoin shows strong recovery,BTC climbs after dip,BTC,market,2,0.89,9
274,2026-10-31,Bloomberg,Ethereum ecosystem gains traction,ETH developer activity rises,ETH,development,2,0.86,8
275,2026-11-01,CoinDesk,Solana bullish momentum increases,SOL shows strong performance,SOL,market,2,0.87,8
276,2026-11-02,Reuters,Crypto market optimism grows,Investors turn positive,BTC,sentiment,2,0.85,7
277,2026-11-03,CoinTelegraph,Bitcoin institutional demand rises,BTC sees stronger inflows,BTC,adoption,2,0.88,9
278,2026-11-04,Bloomberg,Ethereum scaling adoption expands,ETH Layer 2 usage increases,ETH,technology,2,0.86,8
279,2026-11-05,CoinDesk,Solana ecosystem gains strength,SOL network activity increases,SOL,market,2,0.84,7
280,2026-11-06,Reuters,Cardano shows moderate rally,ADA price increases slightly,ADA,market,2,0.83,7
281,2026-11-07,CoinTelegraph,Bitcoin bullish sentiment returns,BTC market turns positive,BTC,sentiment,2,0.89,9
282,2026-11-08,Bloomberg,Ethereum DeFi usage rises sharply,ETH adoption in DeFi increases,ETH,defi,2,0.87,8
283,2026-11-09,CoinDesk,Solana gains developer interest,SOL ecosystem expands,SOL,development,2,0.85,8
284,2026-11-10,Reuters,Crypto market gains momentum overall,BTC and ETH rise together,BTC,market,2,0.88,9
285,2026-11-11,CoinTelegraph,Bitcoin continues upward trend,BTC maintains rally,BTC,market,2,0.90,9
286,2026-11-12,Bloomberg,Ethereum network strengthens further,ETH scalability improves,ETH,technology,2,0.86,8
287,2026-11-13,CoinDesk,Solana shows strong recovery,SOL price increases,SOL,market,2,0.84,7
288,2026-11-14,Reuters,Cardano adoption rises steadily,ADA ecosystem expands,ADA,adoption,2,0.82,7
289,2026-11-15,CoinTelegraph,Bitcoin gains strong support,BTC price stabilizes upward,BTC,market,2,0.89,9
290,2026-11-16,Bloomberg,Ethereum ecosystem expands rapidly,ETH usage increases,ETH,defi,2,0.87,8
291,2026-11-17,CoinDesk,Solana bullish momentum continues,SOL shows sustained growth,SOL,market,2,0.88,8
292,2026-11-18,Reuters,Crypto sentiment strongly positive,Market outlook improves,BTC,sentiment,2,0.86,8
293,2026-11-19,CoinTelegraph,Bitcoin hits new short-term high,BTC reaches peak level,BTC,market,2,0.91,10
294,2026-11-20,Bloomberg,Ethereum adoption accelerates,ETH usage expands significantly,ETH,adoption,2,0.88,9
295,2026-11-21,CoinDesk,Solana network growth surges,SOL activity spikes,SOL,market,2,0.89,9
296,2026-11-22,Reuters,Cardano ecosystem strengthens further,ADA development improves,ADA,development,2,0.83,7
297,2026-11-23,CoinTelegraph,Bitcoin strong bullish continuation,BTC maintains upward trajectory,BTC,market,2,0.92,10
298,2026-11-24,Bloomberg,Ethereum DeFi dominance grows,ETH leads DeFi expansion,ETH,defi,2,0.88,9
299,2026-11-25,CoinDesk,Solana reaches new growth phase,SOL ecosystem expands rapidly,SOL,adoption,2,0.90,9
300,2026-11-26,Reuters,Crypto market enters strong bullish cycle,BTC ETH and SOL rise together,BTC,market,2,0.91,10

301,2026-11-27,CoinDesk,Bitcoin consolidates after strong rally,BTC stabilizes after bullish run,BTC,market,2,0.87,8
302,2026-11-28,Reuters,Ethereum maintains upward momentum,ETH holds gains from previous surge,ETH,market,2,0.86,8
303,2026-11-29,CoinTelegraph,Solana ecosystem remains strong,SOL continues steady growth,SOL,adoption,2,0.85,8
304,2026-11-30,Bloomberg,Cardano network improves steadily,ADA shows consistent development progress,ADA,development,2,0.83,7
305,2026-12-01,CoinDesk,Bitcoin demand remains high,BTC trading volume stays elevated,BTC,market,2,0.88,9
306,2026-12-02,Reuters,Ethereum DeFi usage expands further,ETH sees increased DeFi participation,ETH,defi,2,0.87,9
307,2026-12-03,CoinTelegraph,Solana hits new activity peak,SOL transaction volume rises,SOL,market,2,0.89,9
308,2026-12-04,Bloomberg,Cardano adoption continues growth,ADA user base expands,ADA,adoption,2,0.84,7
309,2026-12-05,CoinDesk,Crypto market shows strong bullish trend,Overall market remains positive,BTC,sentiment,2,0.90,9
310,2026-12-06,Reuters,Bitcoin breaks higher resistance,BTC reaches new short term high,BTC,market,2,0.92,10
311,2026-12-07,CoinTelegraph,Ethereum scalability improves further,ETH network upgrades enhance speed,ETH,technology,2,0.88,8
312,2026-12-08,Bloomberg,Solana ecosystem expands rapidly,SOL gains new developers,SOL,development,2,0.86,8
313,2026-12-09,CoinDesk,Cardano sentiment turns strongly positive,ADA community becomes optimistic,ADA,sentiment,2,0.85,8
314,2026-12-10,Reuters,Bitcoin sees strong institutional inflow,BTC demand rises among investors,BTC,adoption,2,0.91,10
315,2026-12-11,CoinTelegraph,Ethereum adoption accelerates in DeFi,ETH usage grows significantly,ETH,defi,2,0.89,9
316,2026-12-12,Bloomberg,Solana network usage surges,SOL transaction count increases,SOL,market,2,0.88,9
317,2026-12-13,CoinDesk,Crypto sentiment remains bullish,BTC ETH strong upward bias,BTC,sentiment,2,0.87,8
318,2026-12-14,Reuters,Bitcoin price continues upward trend,BTC shows steady gains,BTC,market,2,0.90,9
319,2026-12-15,CoinTelegraph,Ethereum Layer 2 adoption rises,ETH scaling solutions widely used,ETH,technology,2,0.88,9
320,2026-12-16,Bloomberg,Cardano development accelerates,ADA ecosystem improvements continue,ADA,development,2,0.84,7
321,2026-12-17,CoinDesk,Solana bullish momentum continues,SOL price increases steadily,SOL,market,2,0.89,9
322,2026-12-18,Reuters,Bitcoin investor confidence rises,BTC market sentiment improves,BTC,sentiment,2,0.91,9
323,2026-12-19,CoinTelegraph,Ethereum ecosystem expands rapidly,ETH adoption increases,ETH,adoption,2,0.88,9
324,2026-12-20,Bloomberg,Solana shows strong ecosystem growth,SOL developer activity rises,SOL,development,2,0.87,8
325,2026-12-21,CoinDesk,Crypto market enters strong rally phase,Market trend remains bullish,BTC,market,2,0.92,10
326,2026-12-22,Reuters,Bitcoin reaches new highs,BTC price surges,BTC,market,2,0.93,10
327,2026-12-23,CoinTelegraph,Ethereum gains widespread adoption,ETH usage expands globally,ETH,defi,2,0.90,9
328,2026-12-24,Bloomberg,Solana transaction speed improves,SOL network performance increases,SOL,technology,2,0.86,8
329,2026-12-25,CoinDesk,Cardano ecosystem gains traction,ADA adoption increases,ADA,adoption,2,0.85,8
330,2026-12-26,Reuters,Bitcoin bullish sentiment strengthens,BTC investor confidence high,BTC,sentiment,2,0.92,9
331,2026-12-27,CoinTelegraph,Ethereum DeFi dominance increases,ETH leads DeFi ecosystem,ETH,defi,2,0.91,10
332,2026-12-28,Bloomberg,Solana market performance improves,SOL shows strong gains,SOL,market,2,0.88,9
333,2026-12-29,CoinDesk,Crypto market remains highly bullish,BTC ETH SOL all rising,BTC,market,2,0.93,10
334,2026-12-30,Reuters,Bitcoin continues upward momentum,BTC price steadily increases,BTC,market,2,0.92,10
335,2026-12-31,CoinTelegraph,Ethereum network adoption grows,ETH ecosystem expands rapidly,ETH,adoption,2,0.90,9
336,2027-01-01,Bloomberg,Solana starts year strong,SOL sees increased activity,SOL,market,2,0.88,9
337,2027-01-02,CoinDesk,Cardano shows steady growth,ADA development continues,ADA,development,2,0.84,7
338,2027-01-03,Reuters,Bitcoin investor demand increases,BTC market remains strong,BTC,adoption,2,0.91,9
339,2027-01-04,CoinTelegraph,Ethereum scalability widely adopted,ETH Layer 2 usage increases,ETH,technology,2,0.89,9
340,2027-01-05,Bloomberg,Solana ecosystem expands further,SOL developer activity rises,SOL,development,2,0.87,8
341,2027-01-06,CoinDesk,Crypto sentiment remains very positive,Market outlook bullish,BTC,sentiment,2,0.92,9
342,2027-01-07,Reuters,Bitcoin maintains strong upward trend,BTC price stability with gains,BTC,market,2,0.91,9
343,2027-01-08,CoinTelegraph,Ethereum adoption accelerates globally,ETH usage increases worldwide,ETH,defi,2,0.90,9
344,2027-01-09,Bloomberg,Solana network strengthens,SOL performance improves,SOL,market,2,0.88,8
345,2027-01-10,CoinDesk,Cardano ecosystem grows steadily,ADA adoption increases,ADA,adoption,2,0.85,8
346,2027-01-11,Reuters,Bitcoin bullish cycle continues,BTC market remains strong,BTC,market,2,0.93,10
347,2027-01-12,CoinTelegraph,Ethereum DeFi activity surges,ETH dominates DeFi space,ETH,defi,2,0.91,10
348,2027-01-13,Bloomberg,Solana reaches new growth milestone,SOL ecosystem expands,SOL,adoption,2,0.89,9
349,2027-01-14,CoinDesk,Crypto market extremely bullish,BTC ETH SOL surge,BTC,market,2,0.94,10
350,2027-01-15,Reuters,Bitcoin hits strong resistance breakout,BTC reaches new high,BTC,market,2,0.95,10
